Enqueued T[0][0] (r-0, dd-8, plau-6.000000)
Enqueued T[0][1] (r-8, dd-16, plau-14.000000)
Enqueued T[0][2] (r-16, dd-24, plau-22.000000)
Enqueued T[0][3] (r-24, dd-32, plau-30.000000)
Enqueued T[0][4] (r-32, dd-40, plau-38.000000)
Enqueued T[0][5] (r-40, dd-48, plau-46.000000)
Enqueued T[0][6] (r-48, dd-56, plau-54.000000)
Enqueued T[0][7] (r-56, dd-64, plau-62.000000)
Enqueued T[0][8] (r-64, dd-72, plau-70.000000)
Enqueued T[0][9] (r-72, dd-80, plau-78.000000)
Enqueued T[0][10] (r-80, dd-88, plau-86.000000)
Enqueued T[0][11] (r-88, dd-96, plau-94.000000)
Enqueued T[0][12] (r-96, dd-104, plau-102.000000)
Enqueued T[0][13] (r-104, dd-112, plau-110.000000)
Enqueued T[0][14] (r-112, dd-120, plau-118.000000)
Enqueued T[0][15] (r-120, dd-128, plau-126.000000)
Enqueued T[0][16] (r-128, dd-136, plau-134.000000)
Enqueued T[0][17] (r-136, dd-144, plau-142.000000)
Enqueued T[0][18] (r-144, dd-152, plau-150.000000)
Enqueued T[0][19] (r-152, dd-160, plau-158.000000)
Enqueued T[0][20] (r-160, dd-168, plau-166.000000)
Enqueued T[0][21] (r-168, dd-176, plau-174.000000)
Enqueued T[0][22] (r-176, dd-184, plau-182.000000)
Enqueued T[0][23] (r-184, dd-192, plau-190.000000)
Enqueued T[0][24] (r-192, dd-200, plau-198.000000)
Enqueued T[0][25] (r-200, dd-208, plau-206.000000)
Enqueued T[0][26] (r-208, dd-216, plau-214.000000)
Enqueued T[0][27] (r-216, dd-224, plau-222.000000)
Enqueued T[0][28] (r-224, dd-232, plau-230.000000)
Enqueued T[0][29] (r-232, dd-240, plau-238.000000)
Enqueued T[0][30] (r-240, dd-248, plau-246.000000)
Enqueued T[0][31] (r-248, dd-256, plau-254.000000)
Enqueued T[0][32] (r-256, dd-264, plau-262.000000)
Enqueued T[0][33] (r-264, dd-272, plau-270.000000)
Enqueued T[0][34] (r-272, dd-280, plau-278.000000)
Enqueued T[0][35] (r-280, dd-288, plau-286.000000)
Enqueued T[0][36] (r-288, dd-296, plau-294.000000)
Enqueued T[0][37] (r-296, dd-304, plau-302.000000)
Enqueued T[0][38] (r-304, dd-312, plau-310.000000)
Enqueued T[0][39] (r-312, dd-320, plau-318.000000)
Enqueued T[0][40] (r-320, dd-328, plau-326.000000)
Enqueued T[0][41] (r-328, dd-336, plau-334.000000)
Enqueued T[0][42] (r-336, dd-344, plau-342.000000)
Enqueued T[0][43] (r-344, dd-352, plau-350.000000)
Enqueued T[0][44] (r-352, dd-360, plau-358.000000)
Enqueued T[0][45] (r-360, dd-368, plau-366.000000)
Enqueued T[0][46] (r-368, dd-376, plau-374.000000)
Enqueued T[0][47] (r-376, dd-384, plau-382.000000)
Enqueued T[0][48] (r-384, dd-392, plau-390.000000)
Enqueued T[0][49] (r-392, dd-400, plau-398.000000)
Enqueued T[0][50] (r-400, dd-408, plau-406.000000)
Enqueued T[0][51] (r-408, dd-416, plau-414.000000)
Enqueued T[0][52] (r-416, dd-424, plau-422.000000)
