T[i][j]	Rls	Plau	Deadline	runtime

T[0][0]	0 >	6.000000	8	(2.000000)
T[1][0]	0 >	13.000000	14	(1.000000)
T[0][1]	8 >	14.000000	16	(2.000000)
T[0][2]	16 >	22.000000	24	(2.000000)
T[1][1]	14 >	27.000000	28	(1.000000)
T[0][3]	24 >	30.000000	32	(2.000000)
T[0][4]	32 >	38.000000	40	(2.000000)
T[1][2]	28 >	41.000000	42	(1.000000)
T[0][5]	40 >	46.000000	48	(2.000000)
T[1][3]	42 >	53.000000	56	(1.000000)
T[0][6]	48 >	54.000000	56	(2.000000)
T[0][7]	56 >	62.000000	64	(2.000000)
T[1][4]	56 >	69.000000	70	(1.000000)
T[0][8]	64 >	70.000000	72	(2.000000)
T[0][9]	72 >	78.000000	80	(2.000000)
T[1][5]	70 >	83.000000	84	(1.000000)
T[0][10]	80 >	86.000000	88	(2.000000)
T[0][11]	88 >	94.000000	96	(2.000000)
T[1][6]	84 >	97.000000	98	(1.000000)
T[0][12]	96 >	102.000000	104	(2.000000)
T[1][7]	98 >	109.000000	112	(1.000000)
T[0][13]	104 >	110.000000	112	(2.000000)
T[0][14]	112 >	118.000000	120	(2.000000)
T[1][8]	112 >	125.000000	126	(1.000000)
T[0][15]	120 >	126.000000	128	(2.000000)
T[0][16]	128 >	134.000000	136	(2.000000)
T[1][9]	126 >	139.000000	140	(1.000000)
T[0][17]	136 >	142.000000	144	(2.000000)
T[0][18]	144 >	150.000000	152	(2.000000)
T[1][10]	140 >	153.000000	154	(1.000000)
T[0][19]	152 >	158.000000	160	(2.000000)
T[1][11]	154 >	165.000000	168	(1.000000)
T[0][20]	160 >	166.000000	168	(2.000000)
T[0][21]	168 >	174.000000	176	(2.000000)
T[1][12]	168 >	181.000000	182	(1.000000)
T[0][22]	176 >	182.000000	184	(2.000000)
T[0][23]	184 >	190.000000	192	(2.000000)
T[1][13]	182 >	195.000000	196	(1.000000)
T[0][24]	192 >	198.000000	200	(2.000000)
T[0][25]	200 >	206.000000	208	(2.000000)
T[1][14]	196 >	209.000000	210	(1.000000)
T[2][0]	0 >	212.000000	216	(1.000000)
T[0][26]	208 >	213.000000	216	(2.000000)
T[1][15]	210 >	215.000000	224	(1.000000)
T[0][27]	216 >	216.000000	224	(2.000000)
T[2][0]	0 >	218.000000	232	(11.000000)
T[0][28]	224 >	229.000000	232	(2.000000)
T[1][16]	224 >	231.000000	238	(1.000000)
T[0][29]	232 >	232.000000	240	(2.000000)
T[2][0]	0 >	234.000000	245	(11.000000)
T[0][30]	240 >	246.000000	248	(2.000000)
T[1][17]	238 >	251.000000	252	(1.000000)
T[0][31]	248 >	254.000000	256	(2.000000)
T[0][32]	256 >	262.000000	264	(2.000000)
T[1][18]	252 >	265.000000	266	(1.000000)
T[0][33]	264 >	270.000000	272	(2.000000)
T[1][19]	266 >	277.000000	280	(1.000000)
T[0][34]	272 >	278.000000	280	(2.000000)
T[0][35]	280 >	286.000000	288	(2.000000)
T[1][20]	280 >	293.000000	294	(1.000000)
T[0][36]	288 >	294.000000	296	(2.000000)
T[0][37]	296 >	302.000000	304	(2.000000)
T[1][21]	294 >	307.000000	308	(1.000000)
T[0][38]	304 >	310.000000	312	(2.000000)
T[0][39]	312 >	318.000000	320	(2.000000)
T[1][22]	308 >	321.000000	322	(1.000000)
T[0][40]	320 >	326.000000	328	(2.000000)
T[1][23]	322 >	333.000000	336	(1.000000)
T[0][41]	328 >	334.000000	336	(2.000000)
T[0][42]	336 >	342.000000	344	(2.000000)
T[1][24]	336 >	349.000000	350	(1.000000)
