Start	Finish	Task	CPU Decision	Frequency

0.000000	_______	T[0][1]	DelayedArrival	____
0.000000	_______	T[1][1]	DelayedArrival	____
0.000000	_______	T[2][1]	DelayedArrival	____
0.000000	_______	T[3][1]	DelayedArrival	____
0.000000	6.000000	____	Sleep	____
6.000000	8.000000	T[0][0]	Execute()	1.000000
8.000000	_______	T[0][2]	DelayedArrival	____
8.000000	13.000000	____	Sleep	____
13.000000	14.000000	T[1][0]	Execute()	1.000000
14.000000	_______	T[1][2]	DelayedArrival	____
14.000000	16.000000	T[0][1]	Execute()	1.000000
16.000000	_______	T[0][3]	DelayedArrival	____
16.000000	22.000000	____	Sleep	____
22.000000	24.000000	T[0][2]	Execute()	1.000000
24.000000	_______	T[0][4]	DelayedArrival	____
24.000000	27.000000	____	Sleep	____
27.000000	28.000000	T[1][1]	Execute()	1.000000
28.000000	_______	T[1][3]	DelayedArrival	____
28.000000	30.000000	____	Sleep	____
30.000000	30.500000	T[0][3]	Execute()	1.000000
30.500000	38.000000	____	Sleep	____
31.000000	_______	T[0][5]	DelayedArrival	____
38.000000	39.000000	T[0][4]	Execute()	1.000000
39.000000	41.000000	____	Sleep	____
39.500000	_______	T[0][6]	DelayedArrival	____
41.000000	41.500000	T[1][2]	Execute()	1.000000
41.500000	46.000000	____	Sleep	____
42.000000	_______	T[1][4]	DelayedArrival	____
46.000000	48.000000	T[0][5]	Execute()	1.000000
48.000000	_______	T[0][7]	DelayedArrival	____
48.000000	53.000000	____	Sleep	____
53.000000	53.500000	T[1][3]	Execute()	1.000000
53.500000	54.000000	T[0][6]	Execute()	1.000000
54.000000	62.000000	____	Sleep	____
56.000000	_______	T[0][8]	DelayedArrival	____
56.000000	_______	T[1][5]	DelayedArrival	____
62.000000	64.000000	T[0][7]	Execute()	1.000000
64.000000	_______	T[0][9]	DelayedArrival	____
64.000000	69.000000	____	Sleep	____
69.000000	70.000000	T[1][4]	Execute()	1.000000
70.000000	_______	T[1][6]	DelayedArrival	____
70.000000	72.000000	T[0][8]	Execute()	1.000000
72.000000	_______	T[0][10]	DelayedArrival	____
72.000000	78.000000	____	Sleep	____
78.000000	80.000000	T[0][9]	Execute()	1.000000
80.000000	_______	T[0][11]	DelayedArrival	____
80.000000	83.000000	____	Sleep	____
83.000000	84.000000	T[1][5]	Execute()	1.000000
84.000000	_______	T[1][7]	DelayedArrival	____
84.000000	86.000000	____	Sleep	____
86.000000	87.000000	T[0][10]	Execute()	1.000000
87.000000	94.000000	____	Sleep	____
87.500000	_______	T[0][12]	DelayedArrival	____
94.000000	95.000000	T[0][11]	Execute()	1.000000
95.000000	97.000000	____	Sleep	____
95.500000	_______	T[0][13]	DelayedArrival	____
97.000000	97.500000	T[1][6]	Execute()	1.000000
97.500000	102.000000	____	Sleep	____
98.000000	_______	T[1][8]	DelayedArrival	____
102.000000	103.000000	T[0][12]	Execute()	1.000000
103.000000	109.000000	____	Sleep	____
103.500000	_______	T[0][14]	DelayedArrival	____
109.000000	109.500000	T[1][7]	Execute()	1.000000
109.500000	110.500000	T[0][13]	Execute()	1.000000
110.500000	118.000000	____	Sleep	____
112.000000	_______	T[0][15]	DelayedArrival	____
112.000000	_______	T[1][9]	DelayedArrival	____
118.000000	119.000000	T[0][14]	Execute()	1.000000
119.000000	125.000000	____	Sleep	____
120.000000	_______	T[0][16]	DelayedArrival	____
125.000000	126.000000	T[1][8]	Execute()	1.000000
126.000000	_______	T[1][10]	DelayedArrival	____
126.000000	127.000000	T[0][15]	Execute()	1.000000
127.000000	134.000000	____	Sleep	____
128.000000	_______	T[0][17]	DelayedArrival	____
134.000000	136.000000	T[0][16]	Execute()	1.000000
136.000000	_______	T[0][18]	DelayedArrival	____
136.000000	139.000000	____	Sleep	____
139.000000	140.000000	T[1][9]	Execute()	1.000000
140.000000	_______	T[1][11]	DelayedArrival	____
140.000000	142.000000	____	Sleep	____
142.000000	143.000000	T[0][17]	Execute()	1.000000
143.000000	150.000000	____	Sleep	____
143.500000	_______	T[0][19]	DelayedArrival	____
150.000000	150.500000	T[0][18]	Execute()	1.000000
150.500000	153.000000	____	Sleep	____
151.000000	_______	T[0][20]	DelayedArrival	____
153.000000	153.500000	T[1][10]	Execute()	1.000000
153.500000	158.000000	____	Sleep	____
154.000000	_______	T[1][12]	DelayedArrival	____
158.000000	159.000000	T[0][19]	Execute()	1.000000
159.000000	165.000000	____	Sleep	____
159.500000	_______	T[0][21]	DelayedArrival	____
165.000000	165.500000	T[1][11]	Execute()	1.000000
165.500000	167.500000	T[0][20]	Execute()	1.000000
167.500000	174.000000	____	Sleep	____
168.000000	_______	T[0][22]	DelayedArrival	____
168.000000	_______	T[1][13]	DelayedArrival	____
174.000000	175.000000	T[0][21]	Execute()	1.000000
175.000000	181.000000	____	Sleep	____
175.500000	_______	T[0][23]	DelayedArrival	____
181.000000	181.500000	T[1][12]	Execute()	1.000000
181.500000	182.000000	T[0][22]	Execute()	1.000000
182.000000	_______	T[1][14]	DelayedArrival	____
182.000000	182.500000	T[0][22]	Execute()	1.000000
182.500000	190.000000	____	Sleep	____
183.000000	_______	T[0][24]	DelayedArrival	____
190.000000	192.000000	T[0][23]	Execute()	1.000000
192.000000	_______	T[0][25]	DelayedArrival	____
192.000000	195.000000	____	Sleep	____
195.000000	195.500000	T[1][13]	Execute()	1.000000
195.500000	198.000000	____	Sleep	____
196.000000	_______	T[1][15]	DelayedArrival	____
198.000000	200.000000	T[0][24]	Execute()	1.000000
200.000000	_______	T[0][26]	DelayedArrival	____
200.000000	206.000000	____	Sleep	____
206.000000	207.000000	T[0][25]	Execute()	1.000000
207.000000	209.000000	____	Sleep	____
207.500000	_______	T[0][27]	DelayedArrival	____
209.000000	209.500000	T[1][14]	Execute()	1.000000
209.500000	212.000000	____	Sleep	____
210.000000	_______	T[1][16]	DelayedArrival	____
212.000000	214.000000	T[0][26]	Execute()	1.000000
214.000000	214.500000	T[1][15]	Execute()	1.000000
214.500000	216.000000	T[2][0]	Execute()	1.000000
216.000000	_______	T[0][28]	DelayedArrival	____
216.000000	218.000000	T[0][27]	Execute()	1.000000
218.000000	219.500000	T[2][0]	Execute()	1.000000
219.500000	229.000000	____	Sleep	____
224.000000	_______	T[0][29]	DelayedArrival	____
224.000000	_______	T[1][17]	DelayedArrival	____
229.000000	231.000000	T[0][28]	Execute()	1.000000
231.000000	231.500000	T[1][16]	Execute()	1.000000
231.500000	232.000000	T[3][0]	Execute()	1.000000
232.000000	_______	T[0][30]	DelayedArrival	____
232.000000	234.000000	T[0][29]	Execute()	1.000000
234.000000	246.000000	____	Sleep	____
238.000000	_______	T[0][31]	DelayedArrival	____
238.000000	_______	T[1][18]	DelayedArrival	____
238.000000	_______	T[2][2]	DelayedArrival	____
246.000000	247.000000	T[0][30]	Execute()	1.000000
247.000000	251.000000	____	Sleep	____
248.000000	_______	T[0][32]	DelayedArrival	____
251.000000	252.000000	T[1][17]	Execute()	1.000000
252.000000	_______	T[1][19]	DelayedArrival	____
